iata_code,icao_code,airport_name,alt_name,other_codes
JHM,PHJH,Kapalua Airport,,
NIT,LFBN,Niort - Souché Airport,,
OKG,,Okoyo Airport,,
POJ,SNPD,Pedro Pereira dos Santos Airport,,
EIY,LLEY,Ein Yahav Airfield,,
YWM,,Williams Harbour Airport,,TC: CCA6
KZO,UAOO,Kyzylorda Airport,,
VCT,KVCT,Victoria Regional Airport,,
JSU,BGMQ,Maniitsoq Airport,,
EFK,KEFK,Newport State Airport,,
RVC,,River Cess Airport,,
JNG,ZLJN,Jining Daan Airport,,
CST,NFCS,Castaway Island Seaplane Base,,
WKJ,RJCW,Wakkanai Airport,,
LHG,YLRD,Lightning Ridge Airport,,
KDB,YKBL,Kambalda Airport,,
KPE,AYYP,Yapsiei Airport,,
MKS,HAMA,Mekane Selam Airport,,
GBU,HSKG,Khashm el Girba Airport,,
KCR,,Colorado Creek Airport,,
REB,EDAX,Rechlin–Lärz Airfield,,
USM,VTSM,Samui Airport,,
TRH,,Trona Airport,,FAA: L72
CIU,KCIU,Chippewa County International Airport,,
SPP,FNME,Menongue Airport,,
KNZ,GAKA,Kéniéba Airport,,
AVI,MUCA,Máximo Gómez Airport,,
HEE,KHEE,Thompson–Robbins Airport,,
OKT,UWUK,Oktyabrsky Airport,,
MOT,KMOT,Minot International Airport,,
QCY,EGXC,RAF Coningsby,,
FMO,EDDG,Münster Osnabrück Airport,,
GRI,KGRI,Central Nebraska Regional Airport,,
PRI,FSPP,Praslin Island Airport,,
SLN,KSLN,Salina Regional Airport,,
AGZ,FAAG,Aggeneys Airport,,
KTI,VDTI,Techo International Airport,,
CSA,,Colonsay Airport,,
FBE,SSFB,Francisco Beltrão Airport,Paulo Abdala Airport,
ZKE,CZKE,Kashechewan Airport,,
RCL,NVSR,Redcliffe Airport,,
MQJ,UEMA,Moma Airport,,
KPV,PAPE,Perryville Airport,,FAA: PEV
AYN,ZHAY,Anyang Airport,,
ISK,VAOZ,Ozar Airport,,
WSO,SMWS,Washabo Airport,,
CNI,ZYCH,Changhai Airport,,
PBI,KPBI,Palm Beach International Airport,,
OKS,KOKS,Garden County Airport,,
EHM,PAEH,Cape Newenham LRRS Airport,,
SHD,KSHD,Shenandoah Valley Regional Airport,,
YIW,ZSYW,Yiwu Airport,,
LOS,DNMM,Murtala Muhammed International Airport,,
VIN,UKWW,Havryshivka Vinnytsia International Airport,,
ESO,,Ohkay Owingeh Airport,,FAA: E14
WIK,NZKE,Waiheke Island Aerodrome,,
MBG,KMBG,Mobridge Municipal Airport,,
NAM,WAPR,Namlea Airport,,
JUT,MHJU,Juticalpa Airport,,
CAT,LPCS,Cascais Municipal Aerodrome,,
YWG,CYWG,Winnipeg James Armstrong Richardson International Airport,,
MIO,KMIO,Miami Municipal Airport,,
MML,KMML,Southwest Minnesota Regional Airport,Marshall/Ryan Field,
JMS,KJMS,Jamestown Regional Airport,,
SHU,YSMP,Smith Point Airport,,
ROL,,Roosevelt Municipal Airport,,
HRL,KHRL,Valley International Airport,,
AIL,,Ailigandí Airport,,
VDS,ENVD,Vadsø Airport,,
SKV,HESC,St. Catherine International Airport,,
UIK,UIBS,Ust-Ilimsk Airport,,
SHA,ZSSS,Shanghai Hongqiao International Airport,,
YYJ,CYYJ,Victoria International Airport,,
RAR,NCRG,Rarotonga International Airport,,
RSI,,Red Sea International Airport,,
GSE,ESGP,Göteborg City Airport,,
YEQ,,Yankisa Airport,,
HET,ZBHH,Hohhot Baita International Airport,,
BAQ,SKBQ,Ernesto Cortissoz International Airport,,
IPT,KIPT,Williamsport Regional Airport,,
RVK,ENRM,"Rørvik Airport, Ryum",,
AKF,HLKF,Kufra Airport,,
BAI,MRBA,Buenos Aires Airport,,
RMQ,RCMQ,Taichung Airport,Taichung Ching Chuan Kang Airport,
YMD,CYMD,Mould Bay Airport,,
UCC,KUCC,Yucca Airstrip,,FAA: NV11
UAH,NTMU,Ua Huka Airport,,
YGE,,Gorge Harbour Water Aerodrome,,
DWH,KDWH,David Wayne Hooks Memorial Airport,,
AZD,OIYY,Shahid Sadooghi Airport,,
GAU,VEGT,Lokpriya Gopinath Bordoloi International Airport,,
TID,DAOB,Abdelhafid Boussouf Bou Chekif Airport,,
BJZ,LEBZ,Badajoz Airport,Talavera la Real Air Base,
COG,SKCD,Mandinga Airport,,
SVG,ENZV,"Stavanger Airport, Sola",,
SXA,,Sialum Airport,,
GWT,EDXW,Sylt Airport,Westerland Airport,
AUW,KAUW,Wausau Downtown Airport,,
TTH,OOTH,RAFO Thumrait,,
ZOF,,Ocean Falls Water Aerodrome,,TC: CAH2
JDF,SBJF,Francisco Álvares de Assis Airport,,
WSD,KWSD,Condron Army Airfield,,
JIC,ZLJC,Jinchang Jinchuan Airport,,
WCR,PALR,Chandalar Lake Airport,,
BMP,YBPI,Brampton Island Airport,,
EAN,KEAN,Phifer Airfield,,
TIZ,AYTA,Tari Airport,,
JAQ,,Jacquinot Bay Airport,,
EWE,,Ewer Airport,,
LMV,,Madivaru Airport,,
ZZE,UBBZ,Zangilan International Airport,,
ROC,KROC,Greater Rochester International Airport,,
PEZ,UWPP,Penza Airport,Ternovka Airport,
KJI,ZWKN,Kanas Airport,,
TBT,SBTT,Tabatinga International Airport,,
PSR,LIBP,Abruzzo Airport,,
SYE,OYSH,Saadah Airport,,
YFG,,Fontanges Airport,,TC: CTU2
BRP,AYBR,Biaru Airport,,
PNS,KPNS,Pensacola International Airport,,
OYL,HKMY,Moyale Airport,,
PPU,VYPP,Papun Airport,,
HAJ,EDDV,Hannover Airport,,
XCR,LFOK,Châlons Vatry Airport,,
LYG,ZSLG,Lianyungang Baitabu Airport,,
WGP,WADW,Mau Hau Airport,Umbu Mehang Kunda Airport,
SQA,KIZA,Santa Ynez Airport,,FAA: IZA
SSK,,Sturt Creek Airport,,
OLA,ENOL,Ørland Airport,,
FBY,KFBY,Fairbury Municipal Airport,,
MRS,LFML,Marseille Provence Airport,,
NSL,KDVP,Slayton Municipal Airport,,FAA: DVP
RIV,KRIV,March Air Reserve Base,,
RAC,KRAC,John H. Batten Airport,,
KAJ,EFKI,Kajaani Airport,,
GAR,AYGI,Garaina Airport,,
PDV,LBPD,Plovdiv Airport,,
NTT,NFTP,Niuatoputapu Airport,,
OSU,KOSU,Ohio State University Airport,,
KAW,VYKT,Kawthaung Airport,,
LCH,KLCH,Lake Charles Regional Airport,,
YTM,CYFJ,Mont Tremblant International Airport,,
ACZ,OIZB,Zabol Airport,,
RGH,VEBG,Balurghat Airport,,
MOU,PAMO,Mountain Village Airport,,
CCH,SCCC,Chile Chico Airfield,,
TIV,LYTV,Tivat Airport,,
OIA,SDOW,Ourilândia do Norte Airport,,
HAA,ENHK,Hasvik Airport,,
DVP,YDPD,Davenport Downs Airport,,
HGA,HCMH,Hargeisa International Airport,Egal Int'l,
LAY,FALY,Ladysmith Airport,,
ANP,KANP,Lee Airport,,
AFI,SKAM,Amalfi Airport,,
VIB,,Villa Constitución Airport,,
ROS,SAAR,Rosario – Islas Malvinas International Airport,,
TRD,ENVA,"Trondheim Airport, Værnes",,
CLU,KBAK,Columbus Municipal Airport,,FAA: BAK
HCJ,ZGHC,Hechi Jinchengjiang Airport,,
CTY,KCTY,Cross City Airport,,
XKS,CYAQ,Kasabonika Airport,,
PEP,,Peppimenarti Airport,,
PLD,MRCR,Carrillo Airport,Playa Samara/Carrillo Airport,
KMO,PAMB,Manokotak Airport,,FAA: MBA
PRB,KPRB,Paso Robles Municipal Airport,,
PDF,SIAJ,Faz Taua Airport,,
TKK,PTKK,Chuuk International Airport,,
KUR,OARZ,Razer Airport,,
MIJ,MLIP,Mili Airport,,FAA: 1Q9
WHL,,Welshpool Airport,,
NFO,NFTO,Niuafo'ou Airport,,
ETE,HAMM,Genda Wuha Airport,,
AQS,,Saqani Airport,,
AAM,FAMD,Mala Mala Airport,,
LIZ,,Loring International Airport,,FAA: ME16
NLC,KNLC,NAS Lemoore,Reeves Field,
EUF,KEUF,Weedon Field,,
DHD,YDRH,Durham Downs Airport,,
GED,KGED,Delaware Coastal Airport,,
SQX,SSOE,Hélio Wasum Airport,,
FSD,KFSD,Sioux Falls Regional Airport,Joe Foss Field,
WMH,KBPK,Ozark Regional Airport,,FAA: BPK
RKU,,Kairuku Airport,,
ALZ,,Alitak Seaplane Base,,
SHI,RORS,Shimojishima Airport,,
BJV,LTFE,Milas–Bodrum Airport,,
YKF,CYKF,Region of Waterloo International Airport,,
CSK,GOGS,Cap Skirring Airport,,
ARB,KARB,Ann Arbor Municipal Airport,,
KIP,KCWC,Kickapoo Downtown Airport,,FAA: CWC
GUM,PGUM,Antonio B. Won Pat International Airport,Guam Int'l,
MYI,YMUI,Murray Island Airport,,
BEN,HLLB,Benina International Airport,,
NTR,MMAN,Del Norte International Airport,,
ORU,SLOR,Juan Mendoza Airport,,
MQY,KMQY,Smyrna Airport,,
HOE,VLHS,Ban Huoeisay Airport,,
SKN,ENSK,"Stokmarknes Airport, Skagen",,
DBR,VE89,Darbhanga Airport,,
YDO,CYDO,Dolbeau-Saint-Félicien Airport,,
WSK,ZUWS,Chongqing Wushan Airport,,
WNH,ZPWS,Wenshan Puzhehei Airport,,
DIS,FCPL,Dolisie Airport,,
VAO,AGGV,Suavanao Airport,,
MAN,EGCC,Manchester Airport,,
POT,MKKJ,Ken Jones Aerodrome,,
WAA,PAIW,Wales Airport,,
YHP,CYHP,Poplar Hill Airport,,
TTL,,Turtle Island Seaplane Base,,
JDA,KGCD,Grant County Regional Airport,Ogilvie Field,FAA: GCD
MNP,,Maron Island Airport,,
MRW,EKMB,Lolland Falster Airport,,
BLV,KBLV,MidAmerica St. Louis Airport/Scott Air Force Base,,
GPL,MRGP,Guápiles Airport,,
EUX,TNCE,F. D. Roosevelt Airport,,
BYP,YBRY,Barimunya Airport,,
TLJ,PATL,Tatalina LRRS Airport,,
MPN,EGYP,RAF Mount Pleasant,,
YNT,ZSYT,Yantai Penglai International Airport,,
ATY,KATY,Watertown Regional Airport,,
GXA,WAOM,Beringin Airport,,
HZK,BIHU,Húsavík Airport,,
KUY,,Kamusi Airport,,
ONQ,LTAS,Zonguldak Airport,,
BCX,UWUB,Beloretsk Airport,,
ABN,SMBN,Albina Airstrip,,
CJH,,Chilko Lake  Aerodrome,Tsylos Park Lodge,TC: CAG3
WPU,SCGZ,Guardiamarina Zañartu Airport,,
MCI,KMCI,Kansas City International Airport,,
OML,,Omkalai Airport,,
BXY,UAOL,Krayniy Airport,,
YNB,OEYN,Yanbu Airport,Yenbo Airport,
UGI,,San Juan  Seaplane Base,Uganik,FAA: WSJ
SKL,EGEI,Broadford Airfield,,
BHB,KBHB,Hancock County-Bar Harbor Airport,,
TYM,MYES,Staniel Cay Airport,,
IPZ,MRSI,San Isidro de El General Airport,,
PGA,KPGA,Page Municipal Airport,,
OVA,FMSL,Bekily Airport,,
CLG,,New Coalinga Municipal Airport,,FAA: C80
RFP,NTTR,Raiatea Airport,Uturoa Airport,
DUK,FADK,Dukuduku Airport,,
PUR,SLPR,Puerto Rico Airport,,
BUB,KBUB,Cram Field,,
KSA,PTSA,Kosrae International Airport,,FAA: TTK
NOV,FNHU,Albano Machado Airport,,
ZJN,CZJN,Swan River Airport,,
INJ,YINJ,Injune Airport,,
HBG,KHBG,Hattiesburg Bobby L. Chain Municipal Airport,,
TRQ,SBTK,José Galera dos Santos Airport,,
RQA,ZWRQ,Ruoqiang Loulan Airport,,
MYZ,FWMY,Monkey Bay Airport,,
BSD,ZPBS,Baoshan Yunduan Airport,,
GLG,YGLE,Glengyle Airport,,
CGF,KCGF,Cuyahoga County Airport,,
BBN,WBGZ,Bario Airport,,
TXR,,Tanbar Airport,,
VLL,LEVD,Valladolid Airport,,
AQY,,Girdwood Airport,,
TLL,EETN,Tallinn Airport,Lennart Meri Tallinn Airport,
MPL,LFMT,Montpellier–Méditerranée Airport,Fréjorgues Airport,
IRI,HTIR,Iringa Airport,Nduli Airport,
PNL,LICG,Pantelleria Airport,,
AAX,SBAX,Araxá Airport,,
GVL,KGVL,Lee Gilmer Memorial Airport,,
TOY,RJNT,Toyama Airport,,
IXM,VOMD,Madurai Airport,,
TLB,OPTA,Tarbela Dam Airport,,
TMZ,NZTH,Thames Aerodrome,,
KGA,FZUA,Kananga Airport,,
YHD,CYHD,Dryden Regional Airport,,
OBE,KOBE,Okeechobee County Airport,,
JVA,FMMK,Ankavandra Airport,,
LGL,WBGF,Long Lellang Airport,,
AID,KAID,Anderson Municipal Airport,Darlington Field,
YZW,CYZW,Teslin Airport,,
MYA,YMRY,Moruya Airport,,
NSH,OINN,Noshahr Airport,,
KLK,HKFG,Kalokol Airport,Fergusons Gulf Airport,
SNW,VYTD,Thandwe Airport,,
CTB,KCTB,Cut Bank Municipal Airport,,
SAI,VDSA,Siem Reap–Angkor International Airport,,
BUO,HCMV,Burao Airport,,
UKB,RJBE,Kobe Airport,,
HSS,VIHR,Hisar Airport,,
GMB,HAGM,Gambela Airport,,
AVL,KAVL,Asheville Regional Airport,,
GUG,AYGF,Guari Airport,,
ALB,KALB,Albany International Airport,,
BKN,UTAN,Balkanabat International Airport,,
DRN,YDBI,Dirranbandi Airport,,
TBP,SPME,Cap. FAP Pedro Canga Rodríguez Airport,,
GOL,,Gold Beach Municipal Airport,,FAA: 4S1
KLE,FKKH,Kaélé Airport,,
SYV,KSYV,Sylvester Airport,,
UZM,,Hope Bay Aerodrome,,TC: CHB3
RAH,OERF,Rafha Domestic Airport,,
TUC,SANT,Teniente General Benjamín Matienzo International Airport,,
MBJ,MKJS,Sangster International Airport,,
DZH,ZUDA,Dazhou Jinya Airport,,
SIW,WIMP,Sibisa Airport,,
HUW,SWHT,Francisco Correa da Cruz Airport,,
CKH,UESO,Chokurdakh Airport,,
IGR,SARI,Cataratas del Iguazú International Airport,,
XTA,KXTA,Homey Airport,,
BJW,WRKB,Bajawa Soa Airport,,
VIU,,Viru Harbour Airport,,
GSU,HSGF,Azaza Airport,,
NAT,SBNT,São Gonçalo do Amarante–Governador Aluízio Alves International Airport,,
VYI,UENW,Vilyuysk Airport,,
LFP,YLFD,Lakefield Airport,,
BWP,AYBI,Bewani Airport,,
DOD,HTDO,Dodoma Airport,,
KEB,,Nanwalek Airport,,
DBS,,Dubois Municipal Airport,,FAA: U41
EAM,OENG,Najran Domestic Airport,,
OUM,,Oum Hadjer Airport,,
KOH,YKLA,Koolatah Airport,,
ODC,,Oakdale Airport,,FAA: O27
CZE,SVCR,José Leonardo Chirino Airport,,
ABM,YNPE,Northern Peninsula Airport,,
SNQ,,San Quintín Military Airstrip,,
DHB,,Deer Harbor Sea Plane Base,,
JBR,KJBR,Jonesboro Municipal Airport,,
LGD,KLGD,La Grande/Union County Airport,,
RTS,YRTI,Rottnest Island Airport,,
YHA,,Port Hope Simpson Airport,,TC: CCP4
BRN,LSZB,Bern Airport,,
PYH,SVPA,Cacique Aramare Airport,,
GOC,AYGX,Gora Airport,,
WLO,YWTL,Waterloo Airport,,
INO,FZBA,Inongo Airport,,
ZYL,VGSY,Osmani International Airport,,
MMD,ROMD,Minami-Daito Airport,,
CHZ,,Chiloquin State Airport,,FAA: 2S7
MJK,YSHK,Shark Bay Airport,,
TCK,,Tinboli Airport,,
CPX,TJCP,Benjamín Rivera Noriega Airport,,
CZF,PACZ,Cape Romanzof LRRS Airport,,
PFC,KPFC,Pacific City State Airport,,
ISM,KISM,Kissimmee Gateway Airport,,
BXP,EPBP,Biała Podlaska Airport,,
YTA,CYTA,Pembroke Airport,,
GLR,KGLR,Gaylord Regional Airport,,
HCC,,Columbia County Airport,,FAA: 1B1
YTD,CZLQ,Thicket Portage Airport,,
AYU,AYAY,Aiyura Airport,,
GYS,ZUGU,Guangyuan Panlong Airport,,
MMN,,Minute Man Air Field,,FAA: 6B6
GGJ,SSGY,Guaíra Airport,,
ANC,PANC,Ted Stevens Anchorage International Airport,,
URN,OAOG,Urgun Airport,,
YFX,,St. Lewis  Airport,Fox Harbour,TC: CCK4
FFL,KFFL,Fairfield Municipal Airport,,
NNU,SNNU,Nanuque Airport,,
IOA,LGIO,Ioannina National Airport,,
OTL,GQNB,Boutilimit Airport,,
XRR,CYDM,Ross River Airport,,
JQA,BGUQ,Qaarsut Airport,Uummannaq/Qaarsut Airport,
CHJ,FVCH,Chipinge Airport,,
CUF,LIMZ,Cuneo International Airport,,
WIC,EGPC,Wick Airport,,
HOX,VYHL,Homalin Airport,,
PFJ,BIPA,Patreksfjörður Airport,,
AYW,WASA,Ayawasi Airport,,
ABE,KABE,Lehigh Valley International Airport,,
RVN,EFRO,Rovaniemi Airport,,
DCG,,Dubai Creek Seaplane Base,,
RDA,YRKD,Rockhampton Downs Airport,,
RBB,SWBR,Borba Airport,,
TNF,LFPN,Toussus-le-Noble Airport,,
TZM,,Cupul National Airport,,
MIR,DTMB,Monastir Habib Bourguiba International Airport,,
RJK,LDRI,Rijeka Airport,,
ORP,FBOR,Orapa Airport,,
NRA,YNAR,Narrandera Airport,,
YHC,,Hakai Passage Water Aerodrome,,
EOZ,SVEZ,Elorza Airport,,
LIB,,Limbunya Airport,,
YQJ,,April Point Water Aerodrome,,
JDN,KJDN,Jordan Airport,,
ZDY,OMDL,Dalma Airport,,
AZA,KIWA,Phoenix–Mesa Gateway Airport,,FAA: IWA
SPR,MZSP,John Greif II Airport,,
BHF,SKCP,Bahía Cupica Airport,,
GAW,VYGG,Gangaw Airport,,
MJM,FZWA,Mbuji Mayi Airport,,
TEZ,VETZ,Tezpur Airport,,
TGJ,NWWA,Tiga Airport,,
WGY,,Wagny Airport,,
SLQ,PASL,Sleetmute Airport,,
WED,,Wedau Airport,,
CKV,KCKV,Clarksville–Montgomery County Regional Airport,Outlaw Field,
TEA,MHTE,Tela Airport,,
KVR,,Kavalerovo Airport,,
KEP,VNNG,Nepalgunj Airport,,
IGD,LTCT,Iğdır Airport,,
EST,KEST,Estherville Municipal Airport,,
VIL,GMMH,Dakhla Airport,,
DAG,KDAG,Barstow-Daggett Airport,,
GAI,KGAI,Montgomery County Airpark,,
ADP,VCCG,Ampara Airport,,
MEG,FNMA,Malanje Airport,,
PAV,SBUF,Paulo Afonso Airport,,
KQA,PAUT,Akutan Airport,,
OMS,UNOO,Omsk Tsentralny Airport,,
GUA,MGGT,La Aurora International Airport,,
WYE,GFYE,Yengema Airport,,
CXQ,YCRK,Christmas Creek Airport,,
WDG,KWDG,Enid Woodring Regional Airport,,
TLQ,ZWTP,Turpan Jiaohe Airport,,
BSA,HCMF,Bender Qassim International Airport,,
EMO,AYEO,Emo Airport,,
LOK,HKLO,Lodwar Airport,,
UNR,ZMUH,Öndörkhaan Airport,,
MGS,NCMG,Mangaia Airport,,
TNS,,Tungsten  Airport,Cantung,TC: CBX5
ZMD,SWSN,Sena Madureira Airport,,
GUZ,SNGA,Guarapari Airport,,
LLE,FAMN,Malelane Airport,,
CXY,MYCC,Cat Cay Airport,,
TRJ,AYTT,Tarakbits Airport,,
NFL,KNFL,NAS Fallon,Van Voorhis Field,
PON,MGPP,Poptún Airport,,
MFE,KMFE,McAllen Miller International Airport,,
USJ,UAAL,Usharal Airport,,
FZL,UBBF,Fuzuli International Airport,,
WGC,VOWA,Warangal Airport,,
YLT,CYLT,Alert Airport,,
LQK,KLQK,Pickens County Airport,,
AJF,OESK,Al-Jawf Domestic Airport,,
PAX,MTPX,Port-de-Paix Airport,,
ONJ,RJSR,Odate–Noshiro Airport,,
OKB,YORC,Orchid Beach Airport,,
BKI,WBKK,Kota Kinabalu International Airport,,
CIM,SKCM,Cimitarra Airport,,
CPN,,Cape Rodney Airport,,
RDV,,Red Devil Airport,,
EKS,UHSK,Shakhtyorsk Airport,,
GDZ,URKG,Gelendzhik Airport,,
YKG,CYAS,Kangirsuk Airport,,
YYG,CYYG,Charlottetown Airport,,
BLD,,Boulder City Municipal Airport,,FAA: 61B
GUC,KGUC,Gunnison–Crested Butte Regional Airport,,
TUG,RPUT,Tuguegarao Airport,,
MDC,WAMM,Sam Ratulangi International Airport,,
GFE,,Grenfell Airport,,
HAI,KHAI,Three Rivers Municipal Airport,Dr. Haines Flying Field,
SSV,,Siasi Airport,,
CYP,RPVC,Calbayog Airport,,
URG,SBUG,Rubem Berta International Airport,,
SYA,PASY,Eareckson Air Station,,
MMA,,metropolitan area2,,
TSL,MMTN,Tamuín National Airport,,
DIN,VVDB,Dien Bien Phu Airport,,
YPW,CYPW,Powell River Airport,,
FAK,,False Island Seaplane Base,,FAA: 2Z6
UIQ,NVVQ,Quoin Hill Airfield,,
USQ,LTBO,Uşak Airport,,
PHI,SNYE,Pinheiro Airport,,
IPH,WMKI,Sultan Azlan Shah Airport,,
KRD,,Kurundi Airport,,
SBR,YSII,Saibai Island Airport,,
SLP,MMSP,Ponciano Arriaga International Airport,,
ASA,HHSB,Assab International Airport,,
AHS,MHAH,Ahuas Airport,,
ROR,PTRO,Roman Tmetuchl International Airport,,
ESP,,Stroudsburg–Pocono Airport,,FAA: N53
MIB,KMIB,Minot Air Force Base,,
FIK,YFNE,Finke Airport,,
TSB,FYTM,Tsumeb Airport,,
MOV,YMRB,Moranbah Airport,,
ION,FCOI,Impfondo Airport,,
CMW,MUCM,Ignacio Agramonte International Airport,,
OSW,UWOR,Orsk Airport,,
OMC,RPVO,Ormoc Airport,,
USO,,Usino Airport,,
MRF,KMRF,Marfa Municipal Airport,,
BYU,EDQD,Bindlacher Berg Airport,,
ZBL,,Biloela Airport,,
LOY,HKLY,Loiyangalani Airport,,
YAH,CYAH,La Grande-4 Airport,,
PCB,WIHP,Pondok Cabe Airport,,
ZUC,CZUC,Ignace Municipal Airport,,
DAD,VVDN,Da Nang International Airport,,
OME,PAOM,Nome Airport,,
JSK,OIZJ,Jask Airport,,
KRB,YKMB,Karumba Airport,,
NWT,,Nowata Airport,,
MWV,VDMK,Mondulkiri Airport,,
PUL,,Port of Poulsbo Marina Moorage Seaplane Base,,FAA: 83Q
NLT,ZWNL,Xinyuan Nalati Airport,,
DJU,BIDV,Djúpivogur Airport,,
TCH,FOOT,Tchibanga Airport,,
WFI,FMSF,Fianarantsoa Airport,,
KDV,NFKD,Vunisea Airport,,
COY,YCWY,Coolawanyah Station Airport,,
LWS,KLWS,Lewiston–Nez Perce County Airport,,
LKR,,Las Khorey Airport,,
LWE,WATW,Wonopito Airport,,
KMF,AYKD,Kamina Airport,,
EGO,UUOB,Belgorod International Airport,,
AOD,,Abou-Deïa Airport,,
CRI,MYCI,Colonel Hill Airport,Crooked Island Airport,
GVP,YGNV,Greenvale Airport,,
PSL,EGPT,Perth Airport,Scone Airport,
CBV,MGCB,Cobán Airport,,
PTB,KPTB,Dinwiddie County Airport,,
ENY,ZLYA,Yan'an Nanniwan Airport,,
KRI,AYKK,Kikori Airport,,
TRZ,VOTR,Tiruchirappalli International Airport,,
RME,KRME,Griffiss International Airport,,
MGY,KMGY,Dayton–Wright Brothers Airport,,
ISN,KISN,Sloulin Field International Airport,,
NEU,VLSN,Nathong Airport,,
RSJ,,Rosario Seaplane Base,,FAA: W49
HSP,KHSP,Ingalls Field,,
BOM,VABB,Chhatrapati Shivaji International Airport,,
SVX,USSS,Koltsovo International Airport,,
LUA,VNLK,Tenzing-Hillary Airport,,
SXM,TNCM,Princess Juliana International Airport,,
ZBR,OIZC,Konarak Airport,,
YAL,CYAL,Alert Bay Airport,,
KOZ,,Ouzinkie Airport,,FAA: 4K5
TOE,DTTZ,Tozeur–Nefta International Airport,,
AKX,UATT,Aktobe Airport,,
UGL,SCGC,Union Glacier Blue-Ice Runway,,
STZ,SWST,Santa Terezinha Airport,,
TGM,LRTM,Târgu Mureș International Airport,,
MLX,LTAT,Malatya Erhaç Airport,,
GTO,WAMG,Jalaluddin Airport,,
MGV,YMGR,Margaret River Station Airport,,
AIP,VIAX,Adampur Airport,,
SJA,SPJN,San Juan de Marcona Airport,,
YHZ,CYHZ,Halifax Stanfield International Airport,,
SQZ,EGXP,RAF Scampton,,
RFR,MRRF,Río Frío Airport,,
ZEG,,Senggo Airport,,
NRK,ESSP,Norrköping Airport,,
AMJ,SNAR,Almenara Airport,,
XBR,,Brockville Regional Tackaberry Airport,,TC: CNL3
YPR,CYPR,Prince Rupert Airport,,
WVB,FYWB,Walvis Bay Airport,,
DLY,NVVD,Dillon's Bay Airport,,
YJN,CYJN,Saint-Jean Airport,,
KDQ,AYTO,Kamberatoro Airport,,
CBZ,,Binzhou Dagao General Airport,,
WAE,OEWD,Wadi al-Dawasir Domestic Airport,,
TLE,FMST,Toliara Airport,,
KCZ,RJOK,Kōchi Ryōma Airport,,
KWN,PAQH,Quinhagak Airport,,FAA: AQH
ZTA,NTGY,Tureia Airport,,
WSP,MNWP,Waspam Airport,,
MKK,PHMK,Molokai Airport,,
ASB,UTAA,Ashgabat International Airport,,
BMT,KBMT,Beaumont Municipal Airport,,
HRM,DAFH,Hassi R'Mel Airport,Tilrempt Airport,
JAU,SPJJ,Francisco Carle Airport,,
TTX,YTST,Truscott-Mungalalu Airport,,
HOB,KHOB,Lea County Regional Airport,,
HOG,MUHG,Frank País Airport,,
BAK,,metropolitan area2,,
VHM,ESNV,Vilhelmina Airport,,
DTN,KDTN,Shreveport Downtown Airport,,
KGT,ZUKD,Kangding Airport,,
DQA,ZYDQ,Daqing Sartu Airport,,
RIY,OYRN,Riyan Airport,,
SYT,LFLN,Saint-Yan Airport,Charolais Bourgogne Sud Airport,
WHD,,Hyder Seaplane Base,,FAA: 4Z7
IAA,UOII,Igarka Airport,,
VLY,EGOV,Anglesey Airport/RAF Valley,,
CAX,EGNC,Carlisle Lake District Airport,,
NHA,VVNT,Nha Trang Air Base,,
RCA,KRCA,Ellsworth Air Force Base,,
LKN,ENLK,Leknes Airport,,
DRU,,Drummond Airport,,FAA: M26
TNA,ZSJN,Jinan Yaoqiang International Airport,,
OLO,LKOL,Olomouc Airport,Neředín Airport,
GAF,DTTF,Gafsa – Ksar International Airport,,
EPS,MDAB,Arroyo Barril Airport,,
RIL,KRIL,Garfield County Regional Airport,,
TCF,,Tocoa Airport,,
CCR,KCCR,Buchanan Field Airport,,
BWM,KBPP,Bowman Municipal Airport,,FAA: BPP
WTP,AYWT,Woitape Airport,,
TMG,WBKM,Tommanggong Airport,,
LIW,VYLK,Loikaw Airport,,
NSK,UOOO,Alykel Airport,,
FAR,KFAR,Hector International Airport,,
KBC,,Birch Creek Airport,,FAA: Z91
SAK,BIKR,Sauðárkrókur Airport,,
SWL,RPSV,San Vicente Airport,,
MHH,MYAM,Marsh Harbour Airport,,
LLJ,WIPB,Silampari Airport,,
GRD,KGRD,Greenwood County Airport,,
BHA,SESV,Los Perales Airport,,
VLS,NVSV,Valesdir Airport,,
BDX,,Broadus Airport,,
HAN,VVNB,Noi Bai International Airport,,
PIC,MBPI,Pine Cay Airport,,
MCV,YMHU,McArthur River Mine Airport,,
NDS,YSAN,Sandstone Airport,,
YOT,LLYT,Yotvata Airfield,,
RCS,EGTO,Rochester Airport,,
KXA,,Kasaan Seaplane Base,,
MXC,,Monticello Airport,,FAA: U43
TCS,KTCS,Truth or Consequences Municipal Airport,,
SBU,FASB,Springbok Airport,,
BHJ,VABJ,Bhuj Airport/Bhuj Rudra Mata Air Force Base,,
GDT,MBGT,JAGS McCartney International Airport,Grand Turk Int'l,
SYZ,OISS,Shiraz International Airport,Shahid Dastghaib Int'l,
TWC,,Tumxuk Tangwangcheng Airport,,
GIF,KGIF,Winter Haven's Gilbert Airport,,
BGQ,PAGQ,Big Lake Airport,,
LNF,,Munbil Airport,,
WVN,EDWI,JadeWeserAirport,,
YWL,CYWL,Williams Lake Airport,,
VGO,LEVX,Vigo–Peinador Airport,,
KXU,NTKT,Katiu Airport,,
NPE,NZNR,Hawke's Bay Airport,,
